GRILL CD 001		
09	Sweet Honey in the Rock	Breaths
10	Ewan MacColl	Dirty Old Town
11	Bruce Cockburn	Rumours of Glory
12	Goats Don't Shave	Las Vegas (In the Hills of Donegal)
13	Rockingbirds	We Had It All
14	The Ukrainians	Spivaye Solovey
15	Immaculate Fools	Ready For Me
16	Tom Robinson	Loved
17	Poison Girls	Old Tart's Song
GRILL CD 011	1998	This is Modern Folk
01	Billy Bragg	The Boy Done Good
02	Ani DiFranco	Both Hands (Live)
03	Oysterband	Sail On By
04	Bruce Cockburn	Call It Democracy
05	Rev Hammer	England's New Chains
06	Levellers Mutineers	Burford Stomp
07	Jackie Leven	Desolation Blues
08	Goats Don't Shave	Arranmore
09	Andy White	Between a Man and a Woman
10	Great Big Sea	Run Runaway
11	The Ukrainians	Spivaye Solovey
12	Chuck Prophet	New Year's Day
13	Tom Robinson	Hard
14	David Thomas	Kathleen
15	Edward II & the Red Hot Polkas	Bjorn Again Polka
16	Eddi Reader	Bonny Besses
GRILL CD 012	1998	This is Folk
01	Bert Jansch	Step Back
02	Rory McLeod	Spring is Returning/Dosvedanya
03	The Happy End	Turn Things Upside Down
04	Savourna Stevenson	Maybe Then I'll Be A Rose
05	June Tabor	Doctor Calls
06	The Barely Works	Byker Hill
07	Ancient Beatbox	Raining
08	Maddy Prior	Seventeen Years Of Sorrow
09	WAZ	Rhythm Of Time
10	Gods Little Monkeys	Whistle Daughter Whistle
11	Boiled In Lead	Madman Mora Blues
12	Horseflies	Hush Little Baby
13	Utah Phillips & Ani DiFranco	Bridges
14	Wired to the Moon	Promises
15	June Tabor & Oysterband	All Tomorrow's Parties
16	Ewan MacColl & Peggy Seeger	Manchester Rambler
17	Colorblind James Experience	Why Should I Stand Up
GRILL CD 013	1998	World in Motion
01	Bhundu Boys	Radio Africa
02	Bhundu Boys	Kachembere
03	Wende Zako	Real Sounds
04	Four Brothers	Rudo Chete
05	Mechanic Manureke	Kana Vatsvene Vopinda
06	Mechanic Manureke	Cain Na Abel
07	Biggie Tembo	Out of Africa
08	Jolly Boys	Banana
09	Jolly Boys	Mother and Wife
10	S.E Rogie	My Lovely Elizabeth
11	S.E Rogie	I Wish I Was a Cowboy
12	Incantation	Ganado Feroz
13	Incantation	Ojos Azules
14	Sweet Honey in the Rock	Breaths
15	Sweet Honey in the Rock	Waters of Babylon
16	The Ukrainians	Polityka
17	The Ukrainians	Koroleva Ne Polerma
GRILL CD 014	1998	Cooking Vinyl Sampler Volume 7
01	Cinerama	Maniac
02	Carter the Unstoppable Sex Machine	The Undertaker and the Hippy Protest Singer
03	Duffy	Eucharist
04	Ani DiFranco	As Is
05	The Wedding Present	Nobody's Twisting Your Arm
06	They Might Be Giants	Birdhouse In Your Soul
07	Pere Ubu	Highwaterville
08	Jackie Leven	Night Lillies
09	The Church	Louisiana
10	Rev Hammer	England's New Chains
11	Waz	Swallow
12	Savourna Stevenson & Davy Spillane	Calman The Wolf
13	Bert Jansch	All I Got
14	Pat Gallagher & Goats Don't Shave	Gola
15	Great Big Sea	When I'm Up (I Can't Get Down)
16	Incantation	Flight of the Condor
17	The Ukrainians	Nothing Compares 2U
18	Die Goldenen Zitronen	Yes I Am
19	Andy White	In A Groovy Kind Of Way
GRILL CD 015	1999	Cooking Vinyl Sampler Volume 8
01	XTC	Harvest Festival
02	The Lilac Time	Family Coach
03	Ani DiFranco	Angry Anymore
04	Madder Rose	Narco
05	They Might Be Giants	Doctor Worm
06	Cinerama	Dance Girl Dance
07	Carter the Unstoppable Sex Machine	Johnny Cash
08	Chuck Prophet	Scarecrow
09	The Velvet Crush	Think It Over
10	Andy White	Vision Of You
11	Andy White	Come Down To the Sea
12	The Church	Comedown
13	Pere Ubu	Caligari's Mirror
14	Pere Ubu	All the Dogs Are Barking
15	The Pale Orchestra	Morbid Sky
16	Jackie Leven	Live Or Die
17	Billy Bragg	Upfield
18	XTC	Life Begins At The Hop
GRILL CD 016	1999	Delicatessen 1
01	XTC	Harvest Festival
02	The Lilac Time	Family Coach
03	Ani DiFranco	Angry Anymore
04	Madder Rose	Goodbye June Fool
05	Prolapse	Adiabatic
06	Number One Cup	What Does It Mean?
07	They Might Be Giants	Doctor Worm
08	The Pale Orchestra	Morbid Sky
09	Utah Phillips & Ani DiFranco	The Most Dangerous Woman
10	Chuck Prophet	Scarecrow
11	The Church	Comedown
12	The Velvet Crush	Think It Over
13	Cinerama	Dance Girl Dance
14	Andy White	Vision Of You
15	Jackie Leven	Live Or Die
16	Pere Ubu	Caligari's Mirror
17	Carter the Unstoppable Sex Machine	Let's Get Tattoos
18	Billy Bragg	Upfield
GRILL CD 017	2000	Delicatessen 2
01	XTC	Playground
02	Chuck Prophet	Rise
03	King Cobb Steelie	Mayday (Demo)
04	Luke Vibert & BJ Cole	Party Animal
05	Michael Nesmith	Rio
06	The Lilac Time	A Dream That We All Share
07	Home	So Much Love
08	The Church	All the Young Dudes
09	Saint Low	Spanish Moss (Demo)
10	The Wedding Present	Sports Car (Acoustic)
